,att_id,att_name,att_cat,att_price,score
6,6,whistler_small-group_day_trip_from_vancouver,featured_tours_and_tickets,145.0,5.0
578,1303,vancouver_city_sightseeing_tour,tours_&_sightseeing,80.0,4.382816987849449
1467,3470,whistler_sasquatch_zipline,recommended_experiences,135.45,3.118499657400942
5,5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,featured_tours_and_tickets,204.42,2.487300523722803
1411,3404,stanley_park_horse-drawn_tours,recommended_experiences,42.0,2.2514285870715645
1438,3431,flavors_of_old_montreal_walking_tour,recommended_experiences,68.0,2.135252259982379
585,1310,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",tours_&_sightseeing,158.0,2.110744700140481
916,2025,little_italy_walking_food_tour_in_vancouver,walking_&_biking_tours,73.0,2.034328023864903
0,0,vancouver_city_sightseeing_tour,featured_tours_and_tickets,80.0,2.0003231619989164
1064,2258,niagara_falls_helicopter_tour,family_friendly,145.0,1.8437278937113017
472,1081,2_hour_banff_horseback_riding_adventure,outdoor_activities,124.95,1.8330076240255606
702,1571,niagara_falls_canada_tour_from_niagara_usa,tours_&_sightseeing,156.71,1.7375927432081992
1299,3285,niagara_falls_day_tour_from_toronto,recommended_experiences,94.92,1.7342548856076103
77,135,summer_whale_watching_on_vancouver_island,"cruises,_sailing_&_water_tours",145.95,1.663992753083678
1054,2247,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,family_friendly,169.0,1.6175983926905224
279,583,niagara_falls_one_day_sightseeing_tour_from_toronto,"food,_wine_&_nightlife",99.0,1.5702269983517758
1046,2239,niagara_falls_day_tour_from_toronto,family_friendly,94.92,1.5267407366417964
1303,3289,quebec_city_walking_tour,recommended_experiences,30.99,1.5055256281755616
1050,2243,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,family_friendly,57.5,1.4191633884218937
1108,2419,ottawa_river_historic_sightseeing_cruise,family_friendly,28.0,1.410735132957783
1559,3585,overnight_camping_and_river-rafting_trip_in_squamish,recommended_experiences,425.24,1.3774400684008212
594,1323,niagara_on_the_lake_wine_tour_with_cheese_pairing,tours_&_sightseeing,83.62,1.3426501989149204
1335,3321,vancouver_highlights_bike_tour,recommended_experiences,94.45,1.2686557547130721
1186,2606,niagara_falls_helicopter_tour,luxury_&_special_occasions,145.0,1.2069033888279517
83,145,lady_muskoka_boat_cruise,"cruises,_sailing_&_water_tours",42.94,1.1624950006998793
1329,3315,niagara_falls_platinum_tour_from_toronto_with_cruise_and_lunch,recommended_experiences,149.0,1.1167798334200933
581,1306,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,tours_&_sightseeing,149.89,1.1166843203258117
1047,2240,quebec_city_walking_tour,family_friendly,30.99,1.1054181758038502
1413,3406,wild_current_canoe_adventure_at_pyramid_lake,recommended_experiences,120.0,1.0968073953166355
877,1942,vancouver_biking_and_hiking_tour_including_lunch,walking_&_biking_tours,135.5,1.0518553326539914
147,301,6-hour_niagara_falls_canadian_side_evening_illuminations_tour,cultural_&_theme_tours,149.89,1.0448781761269859
850,1910,quebec_city_walking_tour,walking_&_biking_tours,30.99,1.0320870225352763
542,1202,call_of_the_wild_atv_tour,outdoor_activities,156.45,0.9739268491185551
612,1343,5.5-hour_jasper_wildlife_and_waterfalls_tour_with_maligne_lake_cruise_from_jasper,tours_&_sightseeing,144.59,0.9682755743621196
445,986,jasper_to_banff_one-way_tour,outdoor_activities,257.25,0.9600958529705644
1055,2248,niagara_on_the_lake_wine_tour_with_cheese_pairing,family_friendly,83.62,0.9476009399916955
605,1335,"jasper_national_park_tour:_maligne_valley,_medicine_lake_and_spirit_island",tours_&_sightseeing,72.45,0.9295821697245744
429,966,niagara_falls_helicopter_tour,outdoor_activities,145.0,0.918275619663252
88,150,victoria_whale_watching_tour_on_a_covered_vessel,"cruises,_sailing_&_water_tours",122.0,0.9126033420274458
616,1348,toronto's_original_brunch_food_tour,tours_&_sightseeing,99.0,0.8824082024519141
1056,2249,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,family_friendly,136.25,0.8087305016737207
1326,3312,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,recommended_experiences,169.0,0.7865324084460733
47,72,half-day_whale_watching_adventure_from_vancouver,"cruises,_sailing_&_water_tours",181.13,0.7861844607444958
1016,2188,english_bay_jet_ski_tour_from_vancouver,water_sports,155.68,0.7850983118398874
595,1324,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,tours_&_sightseeing,136.26,0.7791304436803639
1137,2462,skagway_shore_excursion:_full-day_tour_of_the_yukon,shore_excursions,157.45,0.7235452232745122
265,567,small-group_quebec_city_food_tour,"food,_wine_&_nightlife",53.0,0.6937474381739352
852,1912,victoria_guided_food_and_history_tour,walking_&_biking_tours,63.0,0.6906071076531439
1312,3298,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,recommended_experiences,57.5,0.6826782206495038
960,2086,whale-watching_tour_from_vancouver,water_sports,138.5,0.6636646640030378
60,88,quebec_city_historic_discoverers_cruise,"cruises,_sailing_&_water_tours",44.83,0.6620652447320898
1341,3327,whale-watching_cruise_with_expert_naturalists,recommended_experiences,94.5,0.6582086160110403
851,1911,small-group_quebec_city_food_tour,walking_&_biking_tours,53.0,0.6563895666300997
972,2124,three_sisters_sea_kayaking_day_tour,water_sports,136.85,0.6425522196114422
197,406,vancouver_to_victoria_and_butchart_gardens_tour_by_bus,day_trips_&_excursions,210.0,0.6273399841036825
590,1316,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,tours_&_sightseeing,204.42,0.6271856129403065
1330,3316,niagara-on-the-lake_wine_tour_and_tastings_with_transport,recommended_experiences,40.0,0.6139125432807465
1410,3403,whistler_wilderness_snowmobile_run,recommended_experiences,208.96,0.6083582318174067
1110,2421,interactive_pirate_cruise_from_granville_island,family_friendly,34.5,0.5889720740895302
1331,3317,niagara_on_the_lake_wine_tour_with_cheese_pairing,recommended_experiences,83.62,0.5759393373781999
46,70,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,"cruises,_sailing_&_water_tours",149.89,0.5758193709315077
603,1333,niagara-on-the-lake_wine-tasting_tour_with_gourmet_lunch_or_dinner,tours_&_sightseeing,157.07,0.568406604684979
1529,3540,little_italy_walking_food_tour_in_vancouver,recommended_experiences,73.0,0.5515755472462811
1121,2440,kingston_discovery_sightseeing_cruise,family_friendly,39.55,0.5372856881908925
1318,3304,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,recommended_experiences,204.41,0.5142786340594767
1307,3293,small-group_quebec_city_food_tour,recommended_experiences,53.0,0.5115970664323721
909,2016,downtown_toronto_bike_tour,walking_&_biking_tours,84.75,0.5067298991724495
125,214,quebec_city_walking_tour,cultural_&_theme_tours,30.99,0.49022548651482434
13,14,niagara_falls_helicopter_tour,"air,_helicopter_&_balloon_tours",145.0,0.4850788309387021
446,988,3_hour_banff_horseback_riding_adventures,outdoor_activities,170.1,0.48178362918597833
607,1338,niagara_falls_one_day_sightseeing_tour_from_toronto,tours_&_sightseeing,99.0,0.481475086886649
162,325,niagara_falls_canada_tour_from_niagara_usa,cultural_&_theme_tours,156.71,0.47008032473196887
203,413,niagara_on_the_lake_wine_tour_with_cheese_pairing,day_trips_&_excursions,83.62,0.4643723422012321
